"X (Hz)","Vo/Vi (dB)"
500,-29.5922011
600,-27.95880017
700,-26.66429358
800,-25.3982039
900,-24.35464367
1000,-23.27713605
1200,-21.63340093
1400,-19.98760044
1600,-18.71084022
1800,-17.52296718
2000,-16.39584349
2200,-15.31833588
2400,-14.29528543
2600,-13.26508904
2800,-12.29298237
3000,-11.28129346
3250,-10.05350718
3500,-7.8050636
3750,-6.717910354
4000,-5.537926319
4250,-4.2934033
4500,-2.887886457
4750,-1.54400848
5000,-0.3287628696
5250,0.5411646547
5500,0.8728584134
5750,0.6223960115
6000,-0.1123998528
6250,-0.9843604534
6500,-2.33488516
6750,-3.331593219
7000,-4.27308542
7250,-5.102968774
7500,-5.897393739
7750,-6.584483926
8000,-7.27310823
8500,-8.437043322
9000,-9.517643652
9500,-10.41631169
10000,-11.23593623
11000,-12.60508384
12000,-13.73471096
13000,-14.82588638
14000,-15.68800399
15000,-16.47817482
16000,-17.12186849
17000,-17.77859219
18000,-18.33404376
19000,-18.92745717
20000,-19.40073553
22000,-20.32876287
24000,-21.15275131
26000,-21.8917929
28000,-22.56520633
30000,-23.22301819
32000,-23.83771052
34000,-24.39571178
36000,-24.90429936
38000,-25.42133545
40000,-25.87296084
44000,-26.71791035
48000,-27.47612658
52000,-28.17870786
56000,-28.87394998
60000,-29.48060355
64000,-30.0930785
68000,-30.58255389
72000,-31.10126857
